ax_axis,ay_axis,az_axis,magn_z,x_axis,y_axis,z_axis,activity_type
0,0,0,0,2,-2,-4,pause
0,0,0,0,2,-2,-4,pause
0,0,0,0,2,-2,-4,pause
0,0,0,0,2,-2,-4,pause
0,0,0,0,2,-2,-4,pause
0,0,0,0,3,3,0,pause
0,0,0,0,4,1,-1,pause
0,0,0,0,1,1,0,pause
0,0,0,0,1,1,0,pause
0,0,0,0,0,2,0,pause
0,0,0,0,0,2,0,pause
0,0,0,0,-1,1,-1,pause
0,0,0,0,-1,0,-1,pause
0,0,0,0,-4,1,1,pause
0,0,0,0,-8,2,5,pause
0,0,0,0,-8,2,5,pause
0,0,0,0,-5,4,6,pause
0,0,0,0,-5,4,6,pause
0,0,0,0,-4,5,5,pause
0,0,0,0,-5,3,1,pause
0,0,0,0,-5,3,1,pause
0,0,0,0,-2,2,-1,pause
0,0,0,0,4,-4,-1,pause
0,0,0,0,4,-2,5,pause
0,0,0,0,4,-2,5,pause
0,0,0,0,3,-6,7,pause
0,0,0,0,3,-6,7,pause
0,0,0,0,1,-6,5,pause
0,0,0,0,-2,-3,9,pause
0,0,0,0,-2,-3,9,pause
0,0,0,0,0,-1,6,pause
0,0,0,0,0,-1,6,pause
0,0,0,0,3,1,3,pause
0,0,0,0,15,2,1,pause
0,0,0,0,15,2,1,pause
0,0,0,0,9,0,-1,pause
0,0,0,0,9,0,-1,pause
0,0,0,0,10,-3,0,pause
0,0,0,0,11,0,-2,pause
0,0,0,0,6,4,-2,pause
0,0,0,0,6,4,-2,pause
0,0,0,0,5,2,-1,pause
0,0,0,0,5,2,-1,pause
0,0,0,0,8,12,3,pause
0,0,0,0,8,12,3,pause
0,0,0,0,6,4,1,pause
0,0,0,0,-2,0,-2,pause
0,0,0,0,-2,0,-2,pause
0,0,0,0,-5,2,-2,pause
0,0,0,0,-5,2,-2,pause
0,0,0,0,-4,1,-4,pause
0,0,0,0,-4,1,-4,pause
0,0,0,0,-7,0,-2,pause
0,0,0,0,-7,0,-2,pause
0,0,0,0,-12,-3,-3,pause
0,0,0,0,-11,-4,-2,pause
0,0,0,0,-11,-4,-2,pause
0,0,0,0,-7,-4,0,pause
0,0,0,0,-7,-4,0,pause
0,0,0,0,-4,-3,1,pause
0,0,0,0,-4,-1,2,pause
0,0,0,0,-4,-1,2,pause
0,0,0,0,-1,0,0,pause
0,0,0,0,-2,0,0,pause
0,0,0,0,-2,1,2,pause
0,0,0,0,-2,1,2,pause
0,0,0,0,-10,0,2,pause
0,0,0,0,-10,0,2,pause
0,0,0,0,-7,4,6,pause
0,0,0,0,-5,9,7,pause
0,0,0,0,-5,9,7,pause
0,0,0,0,-12,14,4,pause
0,0,0,0,-12,14,4,pause
0,0,0,0,-11,21,4,pause
0,0,0,0,-13,24,3,pause
0,0,0,0,-13,24,3,pause
0,0,0,0,4,36,10,pause
0,0,0,0,4,36,10,pause
0,0,0,0,-7,37,15,pause
0,0,0,0,-25,27,14,pause
0,0,0,0,-25,27,14,pause
0,0,0,0,-28,30,16,pause
0,0,0,0,-33,25,18,pause
0,0,-1,0,-32,24,21,pause
0,0,0,0,-32,24,21,pause
0,0,0,0,-33,35,35,pause
0,0,-1,0,-33,35,35,pause
0,0,-1,0,-24,41,35,pause
0,0,0,0,-36,43,28,pause
0,0,-1,0,-36,43,28,pause
0,0,0,0,-13,47,24,pause
-1,0,0,0,-13,47,24,pause
-1,0,0,0,4,39,25,pause
-1,0,0,0,4,15,25,pause
-1,0,0,0,4,15,25,pause
-1,0,0,0,0,5,23,pause
-1,0,1,0,0,5,23,pause
-1,-1,0,0,6,5,23,pause
-1,0,0,0,16,5,16,pause
-1,0,1,0,23,8,15,pause
-2,0,1,0,23,8,15,pause
-2,0,1,0,-3,-19,26,pause
-2,0,0,0,37,-28,43,pause
-2,0,1,0,37,-28,43,pause
-2,0,1,0,71,-36,73,pause
-2,0,1,0,71,-36,73,pause
-2,0,2,0,73,-23,89,pause
-2,0,2,0,73,-3,88,pause
-2,1,3,0,73,-3,88,pause
-2,1,2,0,44,-3,79,pause
-2,1,2,0,44,-3,79,pause
-2,2,2,0,46,-14,66,pause
-2,1,2,0,12,-20,48,pause
