x_axis,y_axis,z_axis,ax_axis,ay_axis,az_axis,activity_type
76,-64,7,2,2,1,situps
56,-53,13,1,2,2,situps
23,-42,7,2,1,1,situps
27,-22,12,1,1,2,situps
21,-15,8,2,1,2,situps
-7,1,-1,1,2,2,situps
40,17,-2,1,1,3,situps
8,20,-6,1,1,5,situps
21,27,-3,1,1,3,situps
25,20,-2,0,2,5,situps
8,20,-5,0,0,4,situps
-28,9,-11,0,2,1,situps
31,17,8,0,0,1,situps
-15,6,-1,0,1,0,situps
-38,13,2,0,0,-2,situps
-14,20,0,0,-1,-2,situps
-44,25,-9,-1,0,-3,situps
-46,49,-1,-1,-2,-3,situps
-33,59,-4,0,-1,-2,situps
-54,64,3,-2,-1,-4,situps
-81,91,2,1,-1,-1,situps
-10,93,7,-2,-1,-1,situps
-50,88,12,-1,-1,-3,situps
-68,99,9,-2,0,-1,situps
-95,95,8,-1,-1,-2,situps
-64,91,1,-1,0,-1,situps
-96,97,15,-1,-2,-3,situps
-72,88,5,0,0,0,situps
-94,91,13,-1,-1,-1,situps
-66,84,12,-1,-1,0,situps
-84,75,17,-1,-1,0,situps
-93,63,18,-2,0,0,situps
-83,54,24,-2,-3,0,situps
-34,34,34,-2,-1,0,situps
-82,29,28,-1,-1,0,situps
-96,24,21,-1,0,1,situps
-203,-19,11,-2,-2,-1,situps
-68,-17,7,0,-3,-4,situps
135,6,-12,0,0,-2,situps
96,-13,-12,0,2,0,situps
45,-19,-12,0,0,0,situps
35,-21,-22,-1,0,0,situps
27,-33,-26,0,0,1,situps
50,-41,-34,0,-1,1,situps
62,-55,-37,1,0,1,situps
78,-67,-50,1,0,2,situps
84,-84,-58,1,1,1,situps
90,-92,-58,1,0,1,situps
81,-106,-52,1,1,0,situps
69,-107,-42,1,0,0,situps
74,-111,-39,1,1,0,situps
36,-99,-29,1,1,-1,situps
85,-102,-26,1,1,0,situps
72,-94,-14,1,2,0,situps
45,-77,6,1,1,0,situps
45,-64,12,2,2,1,situps
60,-49,19,1,0,1,situps
69,-41,10,2,2,3,situps
16,-21,15,1,2,2,situps
57,-22,14,1,0,3,situps
12,-24,12,1,2,4,situps
